1,B-ID-2,basic-agents,Lithuania,0,0,Female,MiddleAged,NationalLanguage,Lithuanian,Center,MiddleClass,proEU,ProNATOAntiRussia
1,B-ID-3,basic-agents,Lithuania,0,0,Male,Old,Both,Lithuanian,Right,UpperClass,proEU,AntiNATOProRussia
1,B-ID-4,basic-agents,Lithuania,0,0,Male,Young,Both,Lithuanian,Right,LowerClass,proEU,NotApplicable
1,B-ID-5,basic-agents,Lithuania,0,0,Male,MiddleAged,Both,Lithuanian,Center,MiddleClass,proEU,NotApplicable
1,B-ID-6,basic-agents,Lithuania,0,0,Male,MiddleAged,NationalLanguage,Lithuanian,Center,MiddleClass,proEU,AntiNATOProRussia
1,B-ID-7,basic-agents,Lithuania,0,0,Female,NotApplicable,Both,Lithuanian,Left,MiddleClass,proEU,NotApplicable
1,B-ID-8,basic-agents,Lithuania,0,0,Female,Old,Both,Lithuanian,NotApplicable,UpperClass,antiEU,AntiNATOProRussia
1,B-ID-9,basic-agents,Lithuania,0,0,Female,MiddleAged,NationalLanguage,Lithuanian,NotApplicable,NotApplicable,proEU,NotApplicable
1,B-ID-10,basic-agents,Lithuania,0,0,Male,MiddleAged,Both,Lithuanian,Right,MiddleClass,proEU,NotApplicable
1,B-ID-11,basic-agents,Lithuania,0,0,Male,Old,NationalLanguage,Lithuanian,NotApplicable,UpperClass,proEU,AntiNATOProRussia
1,B-ID-12,basic-agents,Lithuania,0,0,Male,Old,NationalLanguage,Lithuanian,Right,MiddleClass,proEU,NotApplicable
1,B-ID-13,basic-agents,Lithuania,0,0,Female,MiddleAged,Both,Lithuanian,Center,NotApplicable,NotApplicable,NotApplicable
1,B-ID-14,basic-agents,Lithuania,0,0,Male,Young,Both,Lithuanian,Center,NotApplicable,proEU,NotApplicable
1,B-ID-15,basic-agents,Lithuania,0,0,Male,MiddleAged,NationalLanguage,Lithuanian,Left,LowerClass,antiEU,NotApplicable
